X,Y,Z
321.594048229888,329.118916129051,276.665620966783
320.624360749156,328.27338686902,275.760375986707
320.875080884648,329.1326896666,276.211391157708
320.811315603084,329.778257851444,276.537865612398
322.032945473286,330.172393218856,277.449897524956
322.438458842498,330.634407232487,277.925881301959
322.125751545158,330.393161565971,277.567869239409
321.900919992168,329.553243037133,277.095127525566
321.666209328003,330.179806825494,277.166788599323
322.087612668602,329.886963852589,277.326726922702
321.878489484169,329.928314819515,277.186969772226
321.210631309116,329.970489266216,276.874474263869
322.143083762257,329.03773808412,277.075737067197
322.423017670718,330.159129687419,277.708461756163
315.240830748401,324.022850399763,270.75388351403
320.111318240987,328.410936688385,275.490786253299
320.799712815442,327.535919424757,275.489618764561
322.388751774456,330.001652179499,277.626570158082
321.697519308846,329.495284997805,276.858222887727
317.52438281004,322.701685691707,271.33706464162
320.221561704767,327.68432042076,275.209378389589
313.472380136601,321.271457289231,268.203454390521
322.093766164319,329.519875822884,277.182940641566
322.462606479263,330.502737185957,277.874466849436
322.145537221774,330.745322069989,277.881327449567
320.32499494775,327.427966776984,275.140886749421
317.934733517997,323.448591802993,272.0511681505
322.398239793234,330.381110070418,277.733872082762
319.034460357417,324.391419531906,273.077528772263
320.381141073273,328.918214443445,275.904506256602
320.933199990528,329.34591210985,276.398631595342
316.798117784434,323.367865506181,271.292173306957
317.245572910272,321.765962708208,270.83894738078
320.113547761697,326.103502472984,274.505740052679
321.914348054313,330.1937697149,277.360537562322
322.31475445036,330.734476446908,277.863409915341
321.827125270154,327.276024509481,276.169002751739
321.888008838006,330.107716873012,277.291345504029
321.564578130556,330.509785167052,277.371001332454
317.872576436542,326.541238176289,273.314599417751
319.697011011259,327.410280362045,274.728112254807
314.493232915684,322.811961098726,269.554675856648
322.376449059754,330.662522155016,277.833601786654
322.418620562603,330.654592721513,277.935689588031
322.460736313343,330.605796766712,277.903898671883
308.63372485889,316.064169808874,263.399641784235
320.942988555776,328.644486439555,276.060699776442
321.787899244478,329.797047234278,277.10656830419
321.523242621136,328.667920867958,276.498545387114
319.047923493013,325.847213578648,273.54112825911
318.552504159312,325.787689087425,273.2749236546
319.320794138079,325.589718786286,273.86941576766
315.674655173268,324.591733439893,271.006087650054
322.240991022019,329.545876482852,277.331697989932
320.959199868964,328.184019915417,275.883894849776
322.122403202789,330.758707971207,277.856289179883
321.010758738865,327.150764290853,275.534122551145
316.653997271047,320.970607959945,270.085424324744
322.159673427364,329.835041139739,277.340559595106
319.057287219024,324.494854523176,273.075406343996
321.464638883954,329.754120301897,276.906677974392
319.434118101183,327.385380785661,274.593847736145
