X,Y,Z
782.464289461059,785.703103972058,645.704542128806
785.64555658303,789.117605365148,649.327824971366
786.469271361758,789.233932063742,649.733633685563
785.900919913154,789.005668282308,649.71722491895
785.537363282423,789.239699423042,649.412479252534
785.384865389316,788.915540096074,648.995628499114
785.245648978656,789.250239298629,649.412165931094
786.23771924082,789.248027868055,649.636362776809
784.361135317758,788.802107932585,648.450340385211
786.192203448291,787.558220954987,648.897673933293
785.24882651409,787.281970606876,648.143743266824
785.885466024755,789.041550198379,649.310350353192
784.689238682365,788.608410590766,648.494028498434
786.258975134838,786.602635014698,648.6565516569
782.681092587689,787.636630978813,647.034817650221
780.302966113059,782.50314796057,642.906626830578
785.158837235752,787.528743118335,648.148821945299
786.401560818829,789.169305300518,649.740595355651
785.341788681622,788.423938959078,648.656033971732
781.949283671825,786.46532250009,645.94775794073
786.305602585293,789.212256734633,649.72039226949
780.407702743576,785.400556760688,644.669501621177
785.621687155619,788.477858995517,648.940163125901
786.252766670689,789.167152292436,649.589490962696
786.361905534098,788.459065831745,649.338434001272
785.118613844625,789.248895898884,649.319919742901
780.49691358926,785.512759005798,644.748881026091
786.21511680831,788.102601675364,649.094434689621
786.469750215641,789.235011084183,649.729368663387
782.953765627766,786.094311336433,646.221577287075
782.547203138953,782.272723367592,644.190724303511
779.973173151032,784.315205932902,643.710623039098
784.465051950832,788.956310278683,648.727022094288
786.291302701803,789.056187806257,649.520611460324
784.922163577078,788.771611174938,648.705608152643
786.171656784819,788.893104991008,649.740444107356
783.765100551627,788.026451960814,647.625959968032
785.661479699377,789.130103414576,649.652110701879
786.263656262179,787.155422488995,648.85078589574
786.468020279626,787.871233559773,649.469379889265
786.123843712485,788.409490698911,649.172599294291
785.601353863119,787.742093012139,648.508633173994
785.609819930431,787.417473871991,648.33883843723
785.826568120808,789.078616615315,649.33387239087
781.474937199638,782.882260223394,643.771037053942
779.432288141465,785.745854843006,644.240006320316
785.475893748752,786.806013340835,648.093514174103
785.300009067542,787.161248016633,648.099271374803
786.376644545264,789.215490098154,649.681458110276
785.386480836911,789.003401184411,649.077656608024
781.923083750829,785.025089509774,645.234118068138
783.63362868148,787.963364370077,647.620335825312
776.171366515352,781.727751124247,640.529743819864
786.434992549406,789.121429244326,649.738464095234
782.185597186318,784.715723871582,645.084848436402
784.739263065009,784.216813331689,646.327422543383
785.434019695163,789.145314662321,649.593668419013
784.805465765415,788.509397771781,648.51669558291
786.371162187836,788.038295041078,649.235040959965
785.971674545908,788.683893724141,649.195312556771
785.890024810908,788.097485016997,648.887895414056
785.548924670037,787.176883723416,648.257265218989
